                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3556,                 5.0665,                 1.8223,                0.00782,                0.55372,                0.00716,                0.00208,                 2.4393,                  4.261,                 1.3513,                0.00048,                0.00048,                0.00048
                      2,                 2.4852,                  2.783,                 1.3092,                0.48988,                 0.1157,                0.15989,                0.04073,                 2.0503,                 3.4112,                  1.269,             0.00095228,             0.00095228,             0.00095228
                      3,                 2.2674,                 2.2424,                 1.2426,                0.19256,                0.10727,                0.12085,                0.04774,                 1.9134,                 3.1533,                  1.198,              0.0013963,              0.0013963,              0.0013963
                      4,                 2.1622,                 2.0209,                 1.2047,                0.60056,                0.43447,                0.47011,                0.22133,                 1.8546,                 1.8952,                 1.1665,               0.001812,               0.001812,               0.001812
                      5,                 2.0642,                 1.7994,                 1.1809,                0.63963,                0.59622,                0.60099,                 0.2879,                 1.8478,                 1.5218,                 1.1963,              0.0017737,              0.0017737,              0.0017737
                      6,                 2.0583,                 1.6609,                 1.1817,                0.66349,                0.50885,                0.53215,                  0.249,                 1.9071,                  1.591,                 1.2186,              0.0017171,              0.0017171,              0.0017171
                      7,                 1.9345,                 1.5558,                 1.1269,                0.66439,                0.50951,                0.56858,                0.28204,                 1.7242,                 1.4135,                  1.159,              0.0016606,              0.0016606,              0.0016606
                      8,                 1.8942,                 1.4462,                 1.1294,                0.62755,                0.47344,                0.52549,                0.27386,                 1.7036,                  1.654,                 1.1136,               0.001604,               0.001604,               0.001604
                      9,                 1.8631,                  1.399,                 1.1142,                0.79208,                0.64463,                0.70565,                0.37193,                 1.6365,                 1.1421,                 1.0895,              0.0015474,              0.0015474,              0.0015474
                     10,                 1.8545,                 1.3386,                  1.115,                0.79157,                0.65465,                0.72099,                0.38393,                  1.641,                 1.2756,                 1.1009,              0.0014909,              0.0014909,              0.0014909
                     11,                 1.8013,                 1.2996,                 1.1063,                0.75147,                0.63636,                0.70107,                0.36903,                 1.6248,                 1.1199,                 1.0943,              0.0014343,              0.0014343,              0.0014343
                     12,                 1.8054,                 1.3421,                 1.0823,                0.68517,                0.60803,                0.63511,                0.28853,                 1.8126,                 1.5666,                 1.1493,              0.0013777,              0.0013777,              0.0013777
                     13,                 1.7461,                 1.2613,                 1.0773,                0.79484,                0.67414,                0.73467,                0.40188,                 1.5971,                 1.0685,                 1.0759,              0.0013211,              0.0013211,              0.0013211
                     14,                 1.7418,                 1.1954,                 1.0557,                0.81005,                0.64951,                0.72704,                0.40907,                 1.5598,                 1.0778,                 1.0658,              0.0012646,              0.0012646,              0.0012646
                     15,                 1.7709,                  1.229,                 1.0851,                0.74869,                 0.6222,                0.68169,                0.35188,                 1.7188,                 1.1036,                 1.1286,               0.001208,               0.001208,               0.001208
                     16,                 1.7293,                 1.1891,                 1.0817,                0.77258,                0.68986,                0.73786,                0.40724,                 1.5671,                 1.0123,                 1.0689,              0.0011514,              0.0011514,              0.0011514
                     17,                 1.6871,                 1.1157,                 1.0589,                0.82326,                0.68744,                0.76917,                0.42826,                   1.55,                 1.0351,                 1.0513,              0.0010949,              0.0010949,              0.0010949
                     18,                 1.6967,                 1.1111,                 1.0713,                0.81997,                0.69185,                0.74914,                0.40664,                 1.5895,                 1.0285,                 1.0652,              0.0010383,              0.0010383,              0.0010383
                     19,                 1.6463,                 1.0908,                 1.0534,                0.82808,                0.66116,                0.72838,                0.37947,                 1.6961,                 1.0511,                 1.1112,             0.00098171,             0.00098171,             0.00098171
                     20,                 1.6791,                 1.1028,                 1.0475,                0.86362,                0.68123,                0.77586,                0.44974,                 1.4824,                0.93932,                 1.0345,             0.00092514,             0.00092514,             0.00092514
                     21,                 1.6762,                 1.1112,                 1.0412,                0.87891,                 0.6647,                0.77051,                0.43638,                 1.5509,                 1.0174,                 1.0629,             0.00086857,             0.00086857,             0.00086857
                     22,                 1.6692,                 1.0951,                 1.0412,                0.87509,                0.69303,                0.80027,                0.45895,                 1.4332,                0.92179,                 1.0176,               0.000812,               0.000812,               0.000812
                     23,                 1.6344,                 1.0866,                 1.0333,                0.87183,                0.71477,                0.81029,                0.44513,                 1.4954,                0.92522,                  1.033,             0.00075543,             0.00075543,             0.00075543
                     24,                 1.6593,                 1.0721,                 1.0182,                0.89179,                0.71311,                0.81335,                0.46847,                 1.4345,                0.88124,                 1.0141,             0.00069886,             0.00069886,             0.00069886
                     25,                 1.5997,                 1.0139,                 1.0344,                0.84834,                0.73303,                0.82554,                0.47421,                 1.4343,                0.87337,                 1.0195,             0.00064229,             0.00064229,             0.00064229
                     26,                 1.5312,                0.97478,                 1.0436,                0.87625,                 0.7438,                0.82407,                0.47515,                 1.4539,                 1.0271,                 1.0253,             0.00058571,             0.00058571,             0.00058571
                     27,                 1.5205,                0.92165,                 1.0494,                0.87648,                0.73721,                0.80888,                0.47814,                 1.4477,                0.89246,                 1.0243,             0.00052914,             0.00052914,             0.00052914
                     28,                   1.52,                0.93913,                 1.0324,                0.87009,                0.72727,                0.80449,                0.47008,                 1.4417,                0.89063,                 1.0179,             0.00047257,             0.00047257,             0.00047257
                     29,                 1.4745,                0.91343,                 1.0193,                0.87468,                 0.7438,                0.82208,                0.48761,                 1.3855,                0.85356,                 1.0012,               0.000416,               0.000416,               0.000416
                     30,                 1.4566,                0.89519,                 1.0269,                0.87361,                0.75561,                0.81592,                0.47054,                 1.4405,                0.86937,                 1.0191,             0.00035943,             0.00035943,             0.00035943
                     31,                 1.5021,                0.91533,                 1.0296,                0.89266,                0.72656,                0.81848,                  0.491,                 1.3735,                0.83858,                0.99519,             0.00030286,             0.00030286,             0.00030286
                     32,                 1.4795,                 0.8941,                 1.0198,                0.88272,                 0.7497,                  0.819,                0.47534,                 1.4449,                0.85237,                 1.0236,             0.00024629,             0.00024629,             0.00024629
                     33,                 1.4617,                0.85487,                 1.0227,                0.88861,                0.73464,                 0.8135,                0.48104,                 1.4086,                  0.833,                 1.0034,             0.00018971,             0.00018971,             0.00018971
                     34,                 1.4523,                0.87811,                 1.0135,                0.87854,                0.76151,                0.83287,                0.50711,                 1.3739,                 0.8102,                0.99572,             0.00013314,             0.00013314,             0.00013314
                     35,                 1.4623,                0.85654,                 1.0224,                0.84646,                0.75503,                0.78379,                0.46329,                 1.4025,                0.83057,                 1.0014,             7.6571e-05,             7.6571e-05,             7.6571e-05
