                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5803,                 5.6581,                 2.1019,                0.00455,                0.32231,                0.00324,                0.00085,                 2.8629,                 4.6476,                 1.4016,                0.00024,                0.00024,                0.00024
                      2,                 2.7833,                 3.5435,                 1.4472,                0.00808,                0.57261,                0.00712,                0.00196,                 2.2369,                 6.1734,                 1.2843,              0.0004901,              0.0004901,              0.0004901
                      3,                 2.4383,                 2.8025,                  1.292,                0.00902,                0.63872,                0.01569,                0.00395,                 2.0766,                 3.8062,                 1.2055,              0.0007299,              0.0007299,              0.0007299
                      4,                 2.2885,                 2.3455,                 1.2322,                0.28448,                0.40378,                0.21947,                0.05507,                 1.9446,                 3.3814,                 1.1589,             0.00095941,             0.00095941,             0.00095941
                      5,                 2.1305,                 2.0617,                 1.1896,                0.64436,                0.09198,                  0.256,                0.08452,                 1.9466,                 2.7734,                  1.228,              0.0011786,              0.0011786,              0.0011786
                      6,                 2.0671,                 1.7993,                 1.1935,                0.18913,                0.16175,                0.14703,                0.05556,                 2.0926,                 4.4059,                 1.2726,              0.0013875,              0.0013875,              0.0013875
                      7,                 2.0137,                 1.6957,                 1.1559,                0.27457,                0.46163,                0.19437,                0.08731,                 1.8503,                  5.601,                 1.1597,              0.0015862,              0.0015862,              0.0015862
                      8,                   1.99,                 1.6144,                 1.1523,                0.61158,                0.47226,                0.48364,                0.21701,                  1.908,                 1.6662,                 1.2227,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9629,                 1.5911,                 1.1497,                0.66268,                0.48878,                0.52908,                0.26914,                 1.7706,                 1.8533,                 1.1339,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.9702,                 1.5443,                 1.1274,                 0.6572,                0.33058,                0.42469,                0.19947,                 1.9866,                 2.3133,                 1.2239,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.9647,                 1.4894,                 1.1392,                0.67283,                0.52689,                0.59451,                0.29457,                 1.7812,                 1.4489,                 1.1293,               0.001604,               0.001604,               0.001604
                     12,                 1.9435,                 1.3874,                 1.1605,                0.72157,                 0.5915,                0.64802,                0.34076,                 1.7192,                 1.3632,                 1.1155,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.7785,                 1.2809,                 1.0999,                0.75011,                0.61393,                0.68298,                0.36308,                 1.6707,                 1.7367,                 1.1019,              0.0015248,              0.0015248,              0.0015248
